'Année','Athlète','Position','Age','Equipe','Matchs joués','%3Points','%2Points','Passes','Points'
1950,'Dick Schulz','F-G',33,'TOT',50,'0','0.297',66,209
1950,'Dick Schulz','F-G',33,'WSC',13,'0','0.267',10,43
1950,'Dick Schulz','F-G',33,'TRI',8,'0','0.289',8,41
1950,'Dick Schulz','F-G',33,'SHE',29,'0','0.311',48,125
1950,'Fred Scolari','PG',27,'WSC',66,'0','0.343',175,860
1950,'Wayne See','G',26,'WAT',61,'0','0.373',143,320
1950,'Glen Selbo','G-F',23,'SHE',13,'0','0.196',23,42
1950,'Rollie Seltz','G-F',26,'AND',34,'0','0.301',64,266
1950,'Jim Seminoff','G-F',27,'BOS',65,'0','0.3',249,312
1950,'George Senesky','PG',27,'PHW',68,'0','0.32',264,611
1950,'Paul Seymour','G-F',22,'SYR',62,'0','0.334',189,476
1950,'Carl Shaeffer','F-G',25,'INO',43,'0','0.369',40,150
1950,'Howie Shannon','G-F',26,'BOS',67,'0','0.344',174,587
1950,'Charley Shipp','G-F',36,'WAT',23,'0','0.255',46,107
1950,'Connie Simmons','C-F',24,'NYK',60,'0','0.331',102,680
1950,'Belus Smawley','SG',31,'STB',61,'0','0.345',215,834
1950,'Jack Smiley','F-G',27,'TOT',59,'0','0.269',161,332
1950,'Jack Smiley','F-G',27,'AND',12,'0','0.12',14,24
1950,'Jack Smiley','F-G',27,'WAT',47,'0','0.293',147,308
1950,'Chips Sobek','G-F',29,'SHE',60,'0','0.378',95,346
1950,'Odie Spears','SF',24,'CHS',68,'0','0.357',159,712
1950,'Art Spector','F',29,'BOS',7,'0','0.167',3,5
1950,'Ed Stanczak','F',28,'AND',57,'0','0.349',67,521
1950,'Gene Stump','F-G',26,'TOT',49,'0','0.296',44,163
1950,'Gene Stump','F-G',26,'MNL',23,'0','0.284',23,61
1950,'Gene Stump','F-G',26,'WAT',26,'0','0.305',21,102
1950,'Mike Todorovich','F-C',26,'TOT',65,'0','0.309',207,792
1950,'Mike Todorovich','F-C',26,'STB',14,'0','0.267',19,97
1950,'Mike Todorovich','F-C',26,'TRI',51,'0','0.315',188,695
1950,'Jack Toomay','C-F',27,'DNN',62,'0','0.397',94,594
1950,'Bob Tough','G-F',29,'TOT',29,'0','0.281',38,113
1950,'Bob Tough','G-F',29,'BLB',8,'0','0.282',2,27
1950,'Bob Tough','G-F',29,'WAT',21,'0','0.281',36,86
1950,'Blackie Towery','F-C',29,'BLB',68,'0','0.327',142,597
1950,'Dick Triptow','G-F',27,'BLB',4,'0',0,1,2
1950,'Butch Van','G-F',27,'NYK',56,'0','0.329',78,206
1950,'Gene Vance','G-F',26,'TRI',35,'0','0.338',121,306
1950,'Ernie Vandeweghe','F-G',21,'NYK',42,'0','0.421',78,421
1950,'Floyd Volker','F-C',28,'TOT',54,'0','0.309',112,397
1950,'Floyd Volker','F-C',28,'INO',17,'0','0.321',7,41
1950,'Floyd Volker','F-C',28,'DNN',37,'0','0.308',105,356
1950,'Whitey Von','G-F',27,'TOT',59,'0','0.357',143,313
1950,'Whitey Von','G-F',27,'TRI',26,'0','0.345',36,109
1950,'Whitey Von','G-F',27,'BLB',33,'0','0.364',107,204
1950,'Clint Wager','C-F',30,'FTW',63,'0','0.281',90,143
1950,'Danny Wagner','G',27,'SHE',11,'0','0.352',18,69
1950,'Brady Walker','PF',28,'BOS',68,'0','0.374',109,508
1950,'Paul Walther','SG',22,'TOT',53,'0','0.393',56,291
1950,'Paul Walther','SG',22,'MNL',22,'0','0.4',10,75
1950,'Paul Walther','SG',22,'INO',31,'0','0.39',46,216
1950,'Bobby Wanzer*','G',28,'ROC',67,'0','0.414',214,791
1950,'Murray Wier','G',23,'TRI',56,'0','0.327',107,429
1950,'D.C. Wilcutt','G',26,'STB',37,'0','0.329',49,77
1950,'Bob Wood','G',28,'SHE',6,'0','0.214',1,7
1950,'Max Zaslofsky','SG',24,'CHS',68,'0','0.351',155,1115
1951,'Paul Arizin*','SF',22,'PHW',65,'0','0.407',138,1121
1951,'Curly Armstrong','G-F',32,'FTW',38,'0','0.31',77,202
1951,'Cliff Barker','SG',30,'INO',56,'0','0.252',115,152
1951,'Leo Barnhorst','SF',26,'INO',68,'0','0.346',218,546
1951,'Ed Bartels','F',25,'WSC',17,'0','0.247',12,72
1951,'Ed Beach','F',22,'TOT',12,'0','0.211',3,22
1951,'Ed Beach','F',22,'MNL',11,'0','0.229',2,22
1951,'Ed Beach','F',22,'TRI',1,'0',0,1,0
1951,'Ralph Beard','G',23,'INO',66,'0','0.368',318,1111
1951,'Leon Blevins','G',24,'INO',2,'0','0.25',1,2
1951,'Nelson Bobb','PG',26,'PHW',53,'0','0.329',82,148
1951,'Ike Borsavage','C-F',26,'PHW',24,'0','0.351',4,64
1951,'Vince Boryla','SF',23,'NYK',66,'0','0.406',182,982
1951,'Harry Boykoff','C',28,'TOT',48,'0','0.375',60,326
1951,'Harry Boykoff','C',28,'BOS',32,'0','0.384',40,201
1951,'Harry Boykoff','C',28,'TRI',16,'0','0.361',20,125
1951,'Frankie Brian','G',27,'TRI',68,'0','0.322',266,1144
1951,'Walt Budko','PF',25,'BLB',64,'0','0.356',135,496
1951,'Art Burris','SF',26,'FTW',33,'0','0.248',27,77
1951,'Tommy Byrnes','F-G',27,'TOT',47,'0','0.303',69,217
1951,'Tommy Byrnes','F-G',27,'BLB',16,'0','0.35',21,90
1951,'Tommy Byrnes','F-G',27,'WSC',12,'0','0.2',16,40
1951,'Tommy Byrnes','F-G',27,'TRI',19,'0','0.324',32,87
1951,'Gerry Calabrese','SG',25,'SYR',46,'0','0.355',65,201
1951,'Bill Calhoun','SG',23,'ROC',66,'0','0.346',99,511
1951,'Don Carlson','G-F',31,'BLB',9,'0','0.37',19,42
1951,'Bob Carpenter','F-C',33,'TOT',56,'0','0.325',79,323
1951,'Bob Carpenter','F-C',33,'FTW',21,'0','0.218',16,101
1951,'Bob Carpenter','F-C',33,'TRI',35,'0','0.389',63,222
1951,'Al Cervi*','PG',33,'SYR',53,'0','0.382',208,458
1951,'Leroy Chollet','F',25,'SYR',14,'0','0.118',12,24
1951,'Cal Christensen','SF',23,'TRI',67,'0','0.301',161,443
1951,'Nat Clifton*','PF',28,'NYK',65,'0','0.322',162,562
1951,'Bill Closs','SF',29,'PHW',65,'0','0.32',110,570
1951,'Jack Coleman','PF',26,'ROC',67,'0','0.421',197,764
1951,'Chuck Cooper','F',24,'BOS',66,'0','0.344',174,615
1951,'Ray Corley','G',23,'TOT',34,'0','0.303',60,122
1951,'Ray Corley','G',23,'BLB',16,'0','0.254',22,48
1951,'Ray Corley','G',23,'TRI',18,'0','0.341',38,74
1951,'Bob Cousy*','PG',22,'BOS',69,'0','0.352',341,1078
1951,'Bob Davies*','PG',31,'ROC',63,'0','0.372',287,955
1951,'Hank DeZonie','C-F',28,'TRI',5,'0','0.24',9,17
1951,'Joe Dolhon','G',23,'BLB',13,'0','0.304',19,51
1951,'Bob Donham','SG',24,'BOS',68,'0','0.507',139,416
1951,'Andy Duncan','F-C',28,'BOS',14,'0','0.175',8,29
1951,'Dike Eddleman','SF',28,'TRI',68,'0','0.355',170,1040
1951,'Ray Ellefson','C',28,'NYK',3,'0',0,0,4
1951,'Arnie Ferrin','F-G',25,'MNL',68,'0','0.319',107,352
1951,'Larry Foust','C',22,'FTW',68,'0','0.346',90,915
1951,'Joe Fulks*','PF',29,'PHW',66,'0','0.316',117,1236
1951,'Bill Gabor','SG',28,'SYR',61,'0','0.342',125,689
1951,'Harry Gallatin*','F-C',23,'NYK',66,'0','0.416',180,845
1951,'Vern Gardner','SG',25,'PHW',61,'0','0.337',89,327
1951,'Ed Gayda','G-F',23,'TRI',15,'0','0.413',13,56
1951,'Chuck Gilmur','F-C',28,'WSC',16,'0','0.279',17,51
1951,'Bud Grant','F',23,'MNL',61,'0','0.288',71,158
1951,'Alex Groza','C',24,'INO',66,'0','0.47',156,1429
1951,'Chick Halbert','C',31,'TOT',68,'0','0.365',158,500
1951,'Bruce Hale','G-F',32,'INO',26,'0','0.296',42,94
1951,'Alex Hannum*','PF',27,'SYR',63,'0','0.368',119,471
1951,'John Hargis','G-F',30,'TOT',29,'0','0.378',25,123
1951,'John Hargis','G-F',30,'FTW',14,'0','0.379',9,67
1951,'John Hargis','G-F',30,'TRI',15,'0','0.377',16,56
1951,'Bob Harris','F-C',23,'TOT',56,'0','0.332',64,282
1951,'Bob Harris','F-C',23,'FTW',12,'0','0.228',8,41
1951,'Bob Harris','F-C',23,'BOS',44,'0','0.357',56,241
1951,'Bob Harrison','G',23,'MNL',68,'0','0.347',195,401
1951,'Billy Hassett','G',29,'BLB',31,'0','0.281',47,133
1951,'Kleggie Hermsen','C-F',27,'TOT',71,'0','0.293',92,533
1951,'Sonny Hertzberg','G',28,'BOS',65,'0','0.316',244,635
1951,'Paul Hoffman','G-F',25,'BLB',41,'0','0.318',111,359
1951,'Joe Holland','SF',25,'INO',67,'0','0.33',150,470
1951,'Red Holzman*','PG',30,'ROC',68,'0','0.326',147,496
1951,'Joe Hutton','SG',22,'MNL',60,'0','0.328',53,147
1951,'Gene James','F',25,'TOT',48,'0','0.336',70,202
1951,'Gene James','F',25,'NYK',6,'0','0.333',4,3
1951,'Gene James','F',25,'BLB',42,'0','0.336',66,199
1951,'Tony Jaros','F-G',30,'MNL',63,'0','0.307',72,241
1951,'Arnie Johnson','SF',30,'ROC',68,'0','0.459',175,639
1951,'Ralph Johnson','PG',29,'FTW',68,'0','0.319',183,584
1951,'Wah Wah','PF',24,'INO',22,'0','0.392',85,247
1951,'Noble Jorgensen','C',25,'TOT',63,'0','0.372',91,628
1951,'Noble Jorgensen','C',25,'TRI',22,'0','0.366',27,246
